Scenario,Year,Disease,AgeGroup,Hospitalisations Avoided,95% CL
1,2023,chronic obstructive pulmonary disease,total,85.250431,12.525785
1,2023,coronary heart disease,0-5,0,0
1,2023,coronary heart disease,06-17,0,0
1,2023,coronary heart disease,18-64,0.944513,0.264601
1,2023,coronary heart disease,65+,1.466936,0.345965
1,2023,coronary heart disease,total,2.411448,0.435552
1,2023,lung cancer,0-5,0,0
1,2023,lung cancer,06-17,-0.002018,0.020572
1,2023,lung cancer,18-64,0.584383,1.015539
1,2023,lung cancer,65+,1.396532,1.549447
1,2023,lung cancer,total,1.978897,1.852709
1,2023,stroke,0-5,-0.001183,0.008607
1,2023,stroke,06-17,0.003538,0.023734
1,2023,stroke,18-64,0.120174,0.133842
1,2023,stroke,65+,0.2964,0.188366
1,2023,stroke,total,0.418929,0.23245
1,2023,total,total,91.419605,12.677332
1,2024,childhood asthma,0-5,-0.025982,0.050794
1,2024,childhood asthma,06-17,0.929702,0.139172
1,2024,childhood asthma,18-64,0.5275,0.321735
1,2024,childhood asthma,65+,0.075879,0.150097
1,2024,childhood asthma,total,1.5071,0.384697
1,2024,chronic obstructive pulmonary disease,0-5,0,0
1,2024,chronic obstructive pulmonary disease,06-17,0,0
1,2024,chronic obstructive pulmonary disease,18-64,68.772671,9.660842
1,2024,chronic obstructive pulmonary disease,65+,32.835745,8.614972
1,2024,chronic obstructive pulmonary disease,total,101.608415,12.944096
1,2024,coronary heart disease,0-5,0,0
1,2024,coronary heart disease,06-17,0,0
1,2024,coronary heart disease,18-64,1.245241,0.272066
1,2024,coronary heart disease,65+,1.713325,0.355412
1,2024,coronary heart disease,total,2.958568,0.447591
1,2024,lung cancer,0-5,0,0
1,2024,lung cancer,06-17,0.000002,0.017305
1,2024,lung cancer,18-64,1.488728,1.048044
1,2024,lung cancer,65+,1.327372,1.598865
1,2024,lung cancer,total,2.816102,1.911822
1,2024,stroke,0-5,-0.000273,0.008518
1,2024,stroke,06-17,0.001214,0.02405
1,2024,stroke,18-64,0.156067,0.137564
1,2024,stroke,65+,0.39123,0.193992
1,2024,stroke,total,0.548237,0.239181
1,2024,total,total,109.43842,13.100009
1,2025,childhood asthma,0-5,-0.006658,0.050408
1,2025,childhood asthma,06-17,1.042544,0.141001
1,2025,childhood asthma,18-64,0.544593,0.326249
1,2025,childhood asthma,65+,0.050629,0.15509
1,2025,childhood asthma,total,1.631107,0.391042
1,2025,chronic obstructive pulmonary disease,0-5,0,0
1,2025,chronic obstructive pulmonary disease,06-17,0,0
1,2025,chronic obstructive pulmonary disease,18-64,79.287387,9.938758
1,2025,chronic obstructive pulmonary disease,65+,40.028955,8.920539
1,2025,chronic obstructive pulmonary disease,total,119.316342,13.354958
1,2025,coronary heart disease,0-5,0,0
1,2025,coronary heart disease,06-17,0,0
1,2025,coronary heart disease,18-64,1.487266,0.278943
1,2025,coronary heart disease,65+,1.925323,0.365358
1,2025,coronary heart disease,total,3.412589,0.45967
1,2025,lung cancer,0-5,0,0
1,2025,lung cancer,06-17,-0.002142,0.016275
1,2025,lung cancer,18-64,0.987246,1.083096
1,2025,lung cancer,65+,1.831278,1.657776
1,2025,lung cancer,total,2.816383,1.980299
1,2025,stroke,0-5,-0.000282,0.008376
1,2025,stroke,06-17,-0.003611,0.024435
1,2025,stroke,18-64,0.159096,0.141285
1,2025,stroke,65+,0.416823,0.199763
1,2025,stroke,total,0.572026,0.246037
1,2025,total,total,127.748445,13.516702
1,2026,childhood asthma,0-5,-0.00573,0.050022
1,2026,childhood asthma,06-17,1.107309,0.142431
1,2026,childhood asthma,18-64,0.613767,0.330852
1,2026,childhood asthma,65+,0.056007,0.160468
1,2026,childhood asthma,total,1.771351,0.397495
1,2026,chronic obstructive pulmonary disease,0-5,0,0
1,2026,chronic obstructive pulmonary disease,06-17,0,0
1,2026,chronic obstructive pulmonary disease,18-64,88.422873,10.199335
1,2026,chronic obstructive pulmonary disease,65+,48.765397,9.25906
1,2026,chronic obstructive pulmonary disease,total,137.18827,13.775218
1,2026,coronary heart disease,0-5,0,0
1,2026,coronary heart disease,06-17,0,0
1,2026,coronary heart disease,18-64,1.679825,0.285777
1,2026,coronary heart disease,65+,2.324803,0.374297
1,2026,coronary heart disease,total,4.004629,0.470921
1,2026,lung cancer,0-5,0,0
1,2026,lung cancer,06-17,0.000003,0.018366
1,2026,lung cancer,18-64,1.171959,1.115076
1,2026,lung cancer,65+,2.502252,1.714349
1,2026,lung cancer,total,3.674214,2.045172
1,2026,stroke,0-5,-0.001791,0.008313
1,2026,stroke,06-17,0.00031,0.024662
1,2026,stroke,18-64,0.193171,0.144945
1,2026,stroke,65+,0.463546,0.205421
1,2026,stroke,total,0.655236,0.252754
1,2026,total,total,147.2937,13.942131
1,2027,childhood asthma,0-5,0.014107,0.04972
1,2027,childhood asthma,06-17,1.143578,0.14407
1,2027,childhood asthma,18-64,0.705394,0.335221
1,2027,childhood asthma,65+,0.022556,0.166193
1,2027,childhood asthma,total,1.885635,0.404007
1,2027,chronic obstructive pulmonary disease,0-5,0,0
1,2027,chronic obstructive pulmonary disease,06-17,0,0
1,2027,chronic obstructive pulmonary disease,18-64,97.830065,10.458665
1,2027,chronic obstructive pulmonary disease,65+,55.748495,9.614345
1,2027,chronic obstructive pulmonary disease,total,153.578561,14.206312
1,2027,coronary heart disease,0-5,0,0
1,2027,coronary heart disease,06-17,0,0
1,2027,coronary heart disease,18-64,1.878108,0.292476
1,2027,coronary heart disease,65+,2.714138,0.384205
1,2027,coronary heart disease,total,4.592246,0.482862
1,2027,lung cancer,0-5,0,0
1,2027,lung cancer,06-17,0.000003,0.016683
1,2027,lung cancer,18-64,0.56204,1.147031
1,2027,lung cancer,65+,3.092952,1.780617
1,2027,lung cancer,total,3.654995,2.11815
1,2027,stroke,0-5,-0.003699,0.008186
1,2027,stroke,06-17,0.001899,0.025032
1,2027,stroke,18-64,0.230802,0.14863
1,2027,stroke,65+,0.505866,0.211808
1,2027,stroke,total,0.734868,0.260091
1,2027,total,total,164.446304,14.379495
1,2028,childhood asthma,0-5,-0.002094,0.049589
1,2028,childhood asthma,06-17,1.175279,0.144783
1,2028,childhood asthma,18-64,0.820418,0.339781
1,2028,childhood asthma,65+,0.025301,0.172397
1,2028,childhood asthma,total,2.018904,0.4106
1,2028,chronic obstructive pulmonary disease,0-5,0,0
1,2028,chronic obstructive pulmonary disease,06-17,0,0
1,2028,chronic obstructive pulmonary disease,18-64,106.703793,10.71362
1,2028,chronic obstructive pulmonary disease,65+,65.975553,9.991504
1,2028,chronic obstructive pulmonary disease,total,172.679347,14.649635
1,2028,coronary heart disease,0-5,0,0
1,2028,coronary heart disease,06-17,0,0
1,2028,coronary heart disease,18-64,2.13705,0.298876
1,2028,coronary heart disease,65+,3.075618,0.395059
1,2028,coronary heart disease,total,5.212668,0.495377
1,2028,lung cancer,0-5,0,0
1,2028,lung cancer,06-17,0.007033,0.02002
1,2028,lung cancer,18-64,0.890887,1.181563
1,2028,lung cancer,65+,2.91523,1.844708
1,2028,lung cancer,total,3.813151,2.190763
1,2028,stroke,0-5,-0.003491,0.008373
1,2028,stroke,06-17,0.004927,0.02506
1,2028,stroke,18-64,0.280839,0.152205
1,2028,stroke,65+,0.545266,0.218608
1,2028,stroke,total,0.827541,0.267682
1,2028,total,total,184.55161,14.828921
1,2029,childhood asthma,0-5,-0.005994,0.049494
1,2029,childhood asthma,06-17,1.209336,0.14596
1,2029,childhood asthma,18-64,0.955216,0.343829
1,2029,childhood asthma,65+,0.031739,0.178665
1,2029,childhood asthma,total,2.190296,0.417005
1,2029,chronic obstructive pulmonary disease,0-5,0,0
1,2029,chronic obstructive pulmonary disease,06-17,0,0
1,2029,chronic obstructive pulmonary disease,18-64,113.615097,10.936099
1,2029,chronic obstructive pulmonary disease,65+,74.991456,10.367906
1,2029,chronic obstructive pulmonary disease,total,188.606553,15.069563
1,2029,coronary heart disease,0-5,0,0
1,2029,coronary heart disease,06-17,0,0
1,2029,coronary heart disease,18-64,2.329246,0.305087
1,2029,coronary heart disease,65+,3.534303,0.405989
1,2029,coronary heart disease,total,5.863549,0.507844
1,2029,lung cancer,0-5,0,0
1,2029,lung cancer,06-17,0.000005,0.018903
1,2029,lung cancer,18-64,0.700593,1.214807
1,2029,lung cancer,65+,3.068578,1.906989
1,2029,lung cancer,total,3.769176,2.261132
1,2029,stroke,0-5,-0.004575,0.008357
1,2029,stroke,06-17,0.004659,0.025285
1,2029,stroke,18-64,0.32357,0.155445
1,2029,stroke,65+,0.601636,0.225596
1,2029,stroke,total,0.925289,0.275256
1,2029,total,total,201.354865,15.254902
1,2030,childhood asthma,0-5,-0.007963,0.049669
1,2030,childhood asthma,06-17,1.196752,0.14578
1,2030,childhood asthma,18-64,1.09658,0.348235
1,2030,childhood asthma,65+,0.042037,0.185456
1,2030,childhood asthma,total,2.327405,0.423533
1,2030,chronic obstructive pulmonary disease,0-5,0,0
1,2030,chronic obstructive pulmonary disease,06-17,0,0
1,2030,chronic obstructive pulmonary disease,18-64,123.676354,11.152577
1,2030,chronic obstructive pulmonary disease,65+,83.502371,10.788159
1,2030,chronic obstructive pulmonary disease,total,207.178726,15.516583
1,2030,coronary heart disease,0-5,0,0
1,2030,coronary heart disease,06-17,0,0
1,2030,coronary heart disease,18-64,2.484001,0.310679
1,2030,coronary heart disease,65+,3.965857,0.418572
1,2030,coronary heart disease,total,6.449857,0.521271
1,2030,lung cancer,0-5,0,0
1,2030,lung cancer,06-17,0.00249,0.021204
1,2030,lung cancer,18-64,0.956818,1.237479
1,2030,lung cancer,65+,2.819435,1.981865
1,2030,lung cancer,total,3.778743,2.336577
1,2030,stroke,0-5,-0.00504,0.008377
1,2030,stroke,06-17,0.00328,0.025334
1,2030,stroke,18-64,0.354772,0.158563
1,2030,stroke,65+,0.707019,0.233209
1,2030,stroke,total,1.060031,0.283267
1,2030,total,total,220.794762,15.708446
1,2031,childhood asthma,0-5,0.017345,0.049844
1,2031,childhood asthma,06-17,1.136656,0.145918
1,2031,childhood asthma,18-64,1.26771,0.352361
1,2031,childhood asthma,65+,0.034513,0.192254
1,2031,childhood asthma,total,2.456224,0.429995
1,2031,chronic obstructive pulmonary disease,0-5,0,0
1,2031,chronic obstructive pulmonary disease,06-17,0,0
1,2031,chronic obstructive pulmonary disease,18-64,137.207235,11.373714
1,2031,chronic obstructive pulmonary disease,65+,90.017985,11.188597
1,2031,chronic obstructive pulmonary disease,total,227.225221,15.9545
1,2031,coronary heart disease,0-5,0,0
1,2031,coronary heart disease,06-17,0,0
1,2031,coronary heart disease,18-64,2.765765,0.31642
1,2031,coronary heart disease,65+,4.462964,0.432135
1,2031,coronary heart disease,total,7.22873,0.535595
1,2031,lung cancer,0-5,0,0
1,2031,lung cancer,06-17,0.000014,0.025516
1,2031,lung cancer,18-64,0.842109,1.265625
1,2031,lung cancer,65+,3.99774,2.053536
1,2031,lung cancer,total,4.839863,2.412357
1,2031,stroke,0-5,-0.001241,0.008442
1,2031,stroke,06-17,-0.003416,0.025392
1,2031,stroke,18-64,0.417992,0.161708
1,2031,stroke,65+,0.783676,0.24134
1,2031,stroke,total,1.197011,0.291737
1,2031,total,total,242.947049,16.153093
1,2032,childhood asthma,0-5,0.015238,0.050176
1,2032,childhood asthma,06-17,1.080788,0.14557
1,2032,childhood asthma,18-64,1.369634,0.356458
1,2032,childhood asthma,65+,0.041854,0.199305
1,2032,childhood asthma,total,2.507514,0.436455
1,2032,chronic obstructive pulmonary disease,0-5,0,0
1,2032,chronic obstructive pulmonary disease,06-17,0,0
1,2032,chronic obstructive pulmonary disease,18-64,148.757768,11.585647
1,2032,chronic obstructive pulmonary disease,65+,99.640317,11.596921
1,2032,chronic obstructive pulmonary disease,total,248.398086,16.392553
1,2032,coronary heart disease,0-5,0,0
1,2032,coronary heart disease,06-17,0,0
1,2032,coronary heart disease,18-64,3.040298,0.322575
1,2032,coronary heart disease,65+,5.008439,0.445991
1,2032,coronary heart disease,total,8.048737,0.55042
1,2032,lung cancer,0-5,0,0
1,2032,lung cancer,06-17,0.005269,0.026248
1,2032,lung cancer,18-64,0.904286,1.292919
1,2032,lung cancer,65+,4.319315,2.130987
1,2032,lung cancer,total,5.22887,2.492677
1,2032,stroke,0-5,0.00242,0.008373
1,2032,stroke,06-17,0.00022,0.025297
1,2032,stroke,18-64,0.462404,0.164839
1,2032,stroke,65+,0.91497,0.249776
1,2032,stroke,total,1.380015,0.30045
1,2032,total,total,265.56322,16.598583
1,2033,childhood asthma,0-5,0.013146,0.050618
1,2033,childhood asthma,06-17,1.022518,0.145471
1,2033,childhood asthma,18-64,1.58209,0.360727
1,2033,childhood asthma,65+,0.024075,0.205687
1,2033,childhood asthma,total,2.641829,0.442894
1,2033,chronic obstructive pulmonary disease,0-5,0,0
1,2033,chronic obstructive pulmonary disease,06-17,0,0
1,2033,chronic obstructive pulmonary disease,18-64,159.380395,11.82236
1,2033,chronic obstructive pulmonary disease,65+,110.530031,11.972196
1,2033,chronic obstructive pulmonary disease,total,269.910426,16.825625
1,2033,coronary heart disease,0-5,0,0
1,2033,coronary heart disease,06-17,0,0
1,2033,coronary heart disease,18-64,3.312589,0.329418
1,2033,coronary heart disease,65+,5.502931,0.459688
1,2033,coronary heart disease,total,8.81552,0.565534
1,2033,lung cancer,0-5,0,0
1,2033,lung cancer,06-17,-0.002689,0.021826
1,2033,lung cancer,18-64,1.214058,1.325158
1,2033,lung cancer,65+,4.687941,2.204478
1,2033,lung cancer,total,5.899311,2.572206
1,2033,stroke,0-5,0.001265,0.008374
1,2033,stroke,06-17,0.001583,0.025282
1,2033,stroke,18-64,0.544216,0.168419
1,2033,stroke,65+,1.04537,0.257891
1,2033,stroke,total,1.592434,0.309164
1,2033,total,total,288.859519,17.039057
1,2034,childhood asthma,0-5,0.009567,0.051173
1,2034,childhood asthma,06-17,0.932731,0.144248
1,2034,childhood asthma,18-64,1.772269,0.365044
1,2034,childhood asthma,65+,0.00208,0.212817
1,2034,childhood asthma,total,2.716649,0.449415
1,2034,chronic obstructive pulmonary disease,0-5,0,0
1,2034,chronic obstructive pulmonary disease,06-17,0,0
1,2034,chronic obstructive pulmonary disease,18-64,177.762193,12.05075
1,2034,chronic obstructive pulmonary disease,65+,126.805101,12.39216
1,2034,chronic obstructive pulmonary disease,total,304.567294,17.285434
1,2034,coronary heart disease,0-5,0,0
1,2034,coronary heart disease,06-17,0,0
1,2034,coronary heart disease,18-64,3.622583,0.33558
1,2034,coronary heart disease,65+,6.310896,0.474381
1,2034,coronary heart disease,total,9.93348,0.581077
1,2034,lung cancer,0-5,0,0
1,2034,lung cancer,06-17,-0.011103,0.020376
1,2034,lung cancer,18-64,1.854248,1.358082
1,2034,lung cancer,65+,4.2502,2.281768
1,2034,lung cancer,total,6.093346,2.655422
1,2034,stroke,0-5,-0.000961,0.008543
1,2034,stroke,06-17,0.001157,0.024986
1,2034,stroke,18-64,0.593731,0.171646
1,2034,stroke,65+,1.123752,0.266718
1,2034,stroke,total,1.717678,0.318274
1,2034,total,total,325.028447,17.506524
1,2035,childhood asthma,0-5,0.006249,0.051807
1,2035,childhood asthma,06-17,0.839083,0.143557
1,2035,childhood asthma,18-64,1.984188,0.369277
1,2035,childhood asthma,65+,0.000117,0.219913
1,2035,childhood asthma,total,2.829637,0.456092
1,2035,chronic obstructive pulmonary disease,0-5,0,0
1,2035,chronic obstructive pulmonary disease,06-17,0,0
1,2035,chronic obstructive pulmonary disease,18-64,185.562442,12.327759
1,2035,chronic obstructive pulmonary disease,65+,139.356775,12.799065
1,2035,chronic obstructive pulmonary disease,total,324.919219,17.770472
1,2035,coronary heart disease,0-5,0,0
1,2035,coronary heart disease,06-17,0,0
1,2035,coronary heart disease,18-64,3.991627,0.341221
1,2035,coronary heart disease,65+,7.041235,0.489996
1,2035,coronary heart disease,total,11.032862,0.5971
1,2035,lung cancer,0-5,0,0
1,2035,lung cancer,06-17,0.011462,0.026292
1,2035,lung cancer,18-64,1.736142,1.390567
1,2035,lung cancer,65+,4.066157,2.362756
1,2035,lung cancer,total,5.813761,2.741712
1,2035,stroke,0-5,0.000313,0.008637
1,2035,stroke,06-17,0.005501,0.024753
1,2035,stroke,18-64,0.64356,0.174681
1,2035,stroke,65+,1.265187,0.27595
1,2035,stroke,total,1.914561,0.327642
1,2035,total,total,346.51004,17.999404
1,2036,childhood asthma,0-5,0.028801,0.052409
1,2036,childhood asthma,06-17,0.755699,0.14308
1,2036,childhood asthma,18-64,2.21086,0.373134
1,2036,childhood asthma,65+,-0.007088,0.227613
1,2036,childhood asthma,total,2.988272,0.462877
1,2036,chronic obstructive pulmonary disease,0-5,0,0
1,2036,chronic obstructive pulmonary disease,06-17,0,0
1,2036,chronic obstructive pulmonary disease,18-64,199.31538,12.515319
1,2036,chronic obstructive pulmonary disease,65+,156.212202,13.226602
1,2036,chronic obstructive pulmonary disease,total,355.527584,18.209234
1,2036,coronary heart disease,0-5,0,0
1,2036,coronary heart disease,06-17,0,0
1,2036,coronary heart disease,18-64,4.295556,0.345972
1,2036,coronary heart disease,65+,7.973518,0.507228
1,2036,coronary heart disease,total,12.269073,0.613985
1,2036,lung cancer,0-5,0,0
1,2036,lung cancer,06-17,0.000027,0.02706
1,2036,lung cancer,18-64,1.957428,1.410558
1,2036,lung cancer,65+,4.351686,2.448243
1,2036,lung cancer,total,6.30914,2.82565
1,2036,stroke,0-5,-0.001537,0.008912
1,2036,stroke,06-17,0.007038,0.024642
1,2036,stroke,18-64,0.7048,0.177261
1,2036,stroke,65+,1.373609,0.285963
1,2036,stroke,total,2.083909,0.337466
1,2036,total,total,379.177979,18.44629
1,2037,childhood asthma,0-5,0.022731,0.05316
1,2037,childhood asthma,06-17,0.785055,0.142844
1,2037,childhood asthma,18-64,2.357619,0.37678
1,2037,childhood asthma,65+,-0.037915,0.235776
1,2037,childhood asthma,total,3.12749,0.469876
1,2037,chronic obstructive pulmonary disease,0-5,0,0
1,2037,chronic obstructive pulmonary disease,06-17,0,0
1,2037,chronic obstructive pulmonary disease,18-64,209.812922,12.691886
1,2037,chronic obstructive pulmonary disease,65+,174.636751,13.656891
