LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GBR,POP,TOT,MLN_PER,A,2020,67.081234,
USA,POP,TOT,MLN_PER,A,2016,323.071755,
USA,POP,TOT,MLN_PER,A,2017,325.122128,
USA,POP,TOT,MLN_PER,A,2018,326.838199,
USA,POP,TOT,MLN_PER,A,2019,328.329953,
USA,POP,TOT,MLN_PER,A,2020,329.484123,
BRA,POP,TOT,MLN_PER,A,2016,205.156587,
BRA,POP,TOT,MLN_PER,A,2017,206.804741,
BRA,POP,TOT,MLN_PER,A,2018,208.4949,
BRA,POP,TOT,MLN_PER,A,2019,210.147125,
BRA,POP,TOT,MLN_PER,A,2020,211.755692,
CHL,POP,TOT,MLN_PER,A,2016,18.167147,
CHL,POP,TOT,MLN_PER,A,2017,18.419192,
CHL,POP,TOT,MLN_PER,A,2018,18.751405,
CHL,POP,TOT,MLN_PER,A,2019,19.107216,
CHL,POP,TOT,MLN_PER,A,2020,19.45831,
COL,POP,TOT,MLN_PER,A,2016,48.747708,
COL,POP,TOT,MLN_PER,A,2017,49.291609,
COL,POP,TOT,MLN_PER,A,2018,49.83424,
COL,POP,TOT,MLN_PER,A,2019,50.374478,
COL,POP,TOT,MLN_PER,A,2020,50.911747,
EST,POP,TOT,MLN_PER,A,2016,1.31579,
EST,POP,TOT,MLN_PER,A,2017,1.317384,
EST,POP,TOT,MLN_PER,A,2018,1.321977,
EST,POP,TOT,MLN_PER,A,2019,1.326855,
EST,POP,TOT,MLN_PER,A,2020,1.329479,
ISR,POP,TOT,MLN_PER,A,2016,8.546009,
ISR,POP,TOT,MLN_PER,A,2017,8.713268,
ISR,POP,TOT,MLN_PER,A,2018,8.882764,
ISR,POP,TOT,MLN_PER,A,2019,9.054,
ISR,POP,TOT,MLN_PER,A,2020,9.2151,
RUS,POP,TOT,MLN_PER,A,2016,146.674542,
RUS,POP,TOT,MLN_PER,A,2017,146.842404,
RUS,POP,TOT,MLN_PER,A,2018,146.830572,
RUS,POP,TOT,MLN_PER,A,2019,146.764661,
RUS,POP,TOT,MLN_PER,A,2020,146.459803,
SVN,POP,TOT,MLN_PER,A,2016,2.064241,
SVN,POP,TOT,MLN_PER,A,2017,2.066161,
SVN,POP,TOT,MLN_PER,A,2018,2.07005,
SVN,POP,TOT,MLN_PER,A,2019,2.08931,
SVN,POP,TOT,MLN_PER,A,2020,2.100126,
CHN,POP,TOT,MLN_PER,A,2016,1414.049353,
CHN,POP,TOT,MLN_PER,A,2017,1421.021794,
CHN,POP,TOT,MLN_PER,A,2018,1427.647789,
CHN,POP,TOT,MLN_PER,A,2019,1433.783692,
CHN,POP,TOT,MLN_PER,A,2020,1439.323774,
IND,POP,TOT,MLN_PER,A,2016,1324.51725,
IND,POP,TOT,MLN_PER,A,2017,1338.676779,
IND,POP,TOT,MLN_PER,A,2018,1352.642283,
IND,POP,TOT,MLN_PER,A,2019,1366.417756,
IND,POP,TOT,MLN_PER,A,2020,1380.004385,
IDN,POP,TOT,MLN_PER,A,2016,258.4965,
IDN,POP,TOT,MLN_PER,A,2017,261.3555,
IDN,POP,TOT,MLN_PER,A,2018,264.1616,
IDN,POP,TOT,MLN_PER,A,2019,266.9119,
IDN,POP,TOT,MLN_PER,A,2020,269.6034,
ZAF,POP,TOT,MLN_PER,A,2016,56.140764,
ZAF,POP,TOT,MLN_PER,A,2017,56.990964,
ZAF,POP,TOT,MLN_PER,A,2018,57.859351,
ZAF,POP,TOT,MLN_PER,A,2019,58.726826,
ZAF,POP,TOT,MLN_PER,A,2020,59.538697,
OECD,POP,TOT,MLN_PER,A,2016,1340.85365645222,
OECD,POP,TOT,MLN_PER,A,2017,1348.50398109332,
OECD,POP,TOT,MLN_PER,A,2018,1356.05583645767,
OECD,POP,TOT,MLN_PER,A,2019,1363.37281714722,
OECD,POP,TOT,MLN_PER,A,2020,1368.99070771647,
LVA,POP,TOT,MLN_PER,A,2016,1.959535,
LVA,POP,TOT,MLN_PER,A,2017,1.942247,
LVA,POP,TOT,MLN_PER,A,2018,1.92717,
LVA,POP,TOT,MLN_PER,A,2019,1.913826,
LVA,POP,TOT,MLN_PER,A,2020,1.900448,
ARG,POP,TOT,MLN_PER,A,2015,43.13,
ARG,POP,TOT,MLN_PER,A,2016,43.590368,
ARG,POP,TOT,MLN_PER,A,2017,44.044811,
ARG,POP,TOT,MLN_PER,A,2018,44.494502,
ARG,POP,TOT,MLN_PER,A,2019,44.938712,
ARG,POP,TOT,MLN_PER,A,2020,45.376763,
BGR,POP,TOT,MLN_PER,A,2016,7.1278215,
BGR,POP,TOT,MLN_PER,A,2017,7.0759465,
BGR,POP,TOT,MLN_PER,A,2018,7.0250365,
BGR,POP,TOT,MLN_PER,A,2019,6.9757605,
BGR,POP,TOT,MLN_PER,A,2020,6.934015,
CRI,POP,TOT,MLN_PER,A,2016,4.89037945221625,
CRI,POP,TOT,MLN_PER,A,2017,4.94748959332252,
CRI,POP,TOT,MLN_PER,A,2018,5.00340195767213,
CRI,POP,TOT,MLN_PER,A,2019,5.05800714721902,
CRI,POP,TOT,MLN_PER,A,2020,5.11123821646865,
HRV,POP,TOT,MLN_PER,A,2016,4.174349,
HRV,POP,TOT,MLN_PER,A,2017,4.124531,
HRV,POP,TOT,MLN_PER,A,2018,4.087843,
HRV,POP,TOT,MLN_PER,A,2019,4.065253,
HRV,POP,TOT,MLN_PER,A,2020,4.0477,
CYP,POP,TOT,MLN_PER,A,2016,0.851559,
CYP,POP,TOT,MLN_PER,A,2017,0.85952,
CYP,POP,TOT,MLN_PER,A,2018,0.870071,
CYP,POP,TOT,MLN_PER,A,2019,0.881949,
CYP,POP,TOT,MLN_PER,A,2020,0.892828,
LTU,POP,TOT,MLN_PER,A,2016,2.868234,
LTU,POP,TOT,MLN_PER,A,2017,2.828398,
LTU,POP,TOT,MLN_PER,A,2018,2.801541,
LTU,POP,TOT,MLN_PER,A,2019,2.794135,
LTU,POP,TOT,MLN_PER,A,2020,2.79489,
MLT,POP,TOT,MLN_PER,A,2016,0.455356,
MLT,POP,TOT,MLN_PER,A,2017,0.468005,
MLT,POP,TOT,MLN_PER,A,2018,0.484634,
MLT,POP,TOT,MLN_PER,A,2019,0.504059,
MLT,POP,TOT,MLN_PER,A,2020,0.520193,
ROU,POP,TOT,MLN_PER,A,2016,19.706424,
ROU,POP,TOT,MLN_PER,A,2017,19.592933,
ROU,POP,TOT,MLN_PER,A,2018,19.476713,
ROU,POP,TOT,MLN_PER,A,2019,19.375835,
ROU,POP,TOT,MLN_PER,A,2020,19.260218,
SAU,POP,TOT,MLN_PER,A,2016,31.78758,
SAU,POP,TOT,MLN_PER,A,2017,32.612641,
SAU,POP,TOT,MLN_PER,A,2018,33.41366,
SAU,POP,TOT,MLN_PER,A,2019,34.218169,
SAU,POP,TOT,MLN_PER,A,2020,35.013414,
SGP,POP,TOT,MLN_PER,A,2016,3.933559,
SGP,POP,TOT,MLN_PER,A,2017,3.965796,
SGP,POP,TOT,MLN_PER,A,2018,3.994283,
SGP,POP,TOT,MLN_PER,A,2019,4.026209,
SGP,POP,TOT,MLN_PER,A,2020,4.04421,
WLD,POP,TOT,MLN_PER,A,2016,7464.021934,
WLD,POP,TOT,MLN_PER,A,2017,7547.8589,
WLD,POP,TOT,MLN_PER,A,2018,7631.091113,
WLD,POP,TOT,MLN_PER,A,2019,7713.468205,
WLD,POP,TOT,MLN_PER,A,2020,7794.798729,
G20,POP,TOT,MLN_PER,A,2016,4754.5718455,
G20,POP,TOT,MLN_PER,A,2017,4788.717194,
G20,POP,TOT,MLN_PER,A,2018,4821.993415,
G20,POP,TOT,MLN_PER,A,2019,4854.2278825,
G20,POP,TOT,MLN_PER,A,2020,4883.5490975,
EU27,POP,TOT,MLN_PER,A,2016,444.9949875,
EU27,POP,TOT,MLN_PER,A,2017,445.635488,
EU27,POP,TOT,MLN_PER,A,2018,446.342322,
EU27,POP,TOT,MLN_PER,A,2019,447.1999675,
EU27,POP,TOT,MLN_PER,A,2020,447.5389285,
